project_code,serial_no,project_name,implementing_agency,state,approval_date_raw,original_completion_date_raw,revised_completion_date_raw,original_cost,revised_cost,cumulative_expenditure,physical_progress_pct,source_page,snapshot_month,source_file,source_type,code_type,paimana_code_match,expenditure_change_cr,physical_progress_change_pct,revised_cost_change_cr,observation_number,has_previous_observation
108841,1800.0,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,PAN India,2023-08-01,2028-06-01,,3742.0,3742.0,435.31,0.0,157,2026-06-01,FlashReport_June_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
108841,1714.0,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,PAN India,2023-08-01,2028-06-01,,3742.0,3742.0,435.31,8.15,149,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,0.0,8.15,0.0,2,1
124199,1715.0,Amended BharatNet Program - HR,Department of Telecommunications,PAN India,2023-08-01,2029-03-01,,837.0,837.0,83.68,0.0,149,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
171218,1716.0,Amended BharatNet Program - PB,Department of Telecommunications,PAN India,2023-08-01,2028-02-01,,1245.0,1245.0,0.0,26.58,149,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
175860,1717.0,"Amended BharatNet Program - MP, DD and DNH",Department of Telecommunications,PAN India,2023-06-01,2028-05-01,,4943.0,4943.0,562.13,8.4,149,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
210914,1718.0,Amended BharatNet Program - WB & ANI,Department of Telecommunications,PAN India,2023-08-01,2028-02-01,,1674.0,1674.0,223.41,15.13,149,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
222253,1806.0,Amended BharatNet Program - UP,Department of Telecommunications,Uttar Pradesh,2023-08-01,2028-02-01,,5008.0,5008.0,502.0,0.0,158,2026-06-01,FlashReport_June_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
222253,1736.0,Amended BharatNet Program - UP,Department of Telecommunications,Uttar Pradesh,2023-08-01,2028-02-01,,5008.0,5008.0,502.0,7.65,150,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,0.0,7.65,0.0,2,1
240484,1719.0,Amended BharatNet Program - AS,Department of Telecommunications,PAN India,2023-08-01,2029-03-01,,832.0,832.0,83.16,0.0,149,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
245986,272.0,Jaipur Metro Rail Project Phase 2,Jaipur Metro Rail Corporation,Rajasthan,2026-04-01,2031-10-01,,13037.66,13037.66,1.79,1.79,68,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
298178,175.0,"Meja Thermal Power Project, Stage-II ,",National Thermal Power Corporation [NTPC],Uttar Pradesh,2026-06-01,2032-12-01,,38358.0,38358.0,1002.73,0.02,63,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
317725,1720.0,Amended BharatNet Program - OD,Department of Telecommunications,PAN India,2023-08-01,2029-07-01,,1713.0,1713.0,0.0,0.0,149,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
364934,516.0,Stamp Charge Battery No.12 By-product Plant at IISCO Steel Plant (Steel Authority of India Limited ),SAIL,West Bengal,2025-01-01,2028-07-01,,999.46,999.46,70.37,18.72,80,2026-07-01,FlashReport_July_2026.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,False,,,,1,0
400005,218.0,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat,",2022-07-01,2023-06-01,2025-12-01,4546.26,4546.26,4148.46,93.0,44,2025-07-01,FlashReport_July_2025.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,True,,,,1,0
400005,216.0,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat,",2022-01-01,2023-06-01,,4546.26,4546.26,4172.96,93.0,44,2025-08-01,FlashReport_August_2025.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,True,24.5,0.0,0.0,2,1
400005,221.0,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat,",2022-01-01,2023-06-01,,4546.26,4546.26,4210.29,93.0,50,2025-09-01,FlashReport_September_2025.pdf,PAIMANA_FLASH_REPORT,MODERN_NUMERIC_CODE,True,37.32999999999993,0.0,0.0,3,1
