si_no,state_ut,total_projects_no_of_projects,total_projects_original_cost,total_projects_anticipated_cost,total_projects_cost_overrun,projects_with_cost_overrun_no,projects_with_cost_overrun_original_cost,projects_with_cost_overrun_anticipated_cost,projects_with_cost_overrun_cost_overrun
1.0,Andhra Pradesh,105,143639.67,207081.71,44.17,26,57861.06,121426.59,109.86
2.0,Arunachal Pradesh,23,47724.71,62810.39,31.61,3,7474.01,22559.69,201.84
3.0,Assam,65,65566.55,75298.98,14.84,7,17766.23,28683.66,61.45
4.0,Bihar,90,121362.68,147497.07,21.53,36,43722.93,71509.63,63.55
5.0,Goa,4,1526.58,1613.08,5.67,1,303.9,390.4,28.46
6.0,Gujarat,87,135779.29,145051.88,6.83,27,35398.52,44841.67,26.68
7.0,Haryana,31,71959.27,82787.07,15.05,13,51283.61,62111.77,21.11
8.0,Himachal Pradesh,29,27418.92,43798.61,59.74,13,17099.19,33696.43,97.06
9.0,Jammu and Kashmir,54,77239.47,119007.32,54.08,9,13109.89,55137.74,320.58
10.0,Karnataka,82,101021.61,107169.36,6.09,21,16669.92,24428.52,46.54
11.0,Kerala,33,69127.95,76356.72,10.46,13,27234.41,34988.26,28.47
12.0,Madhya Pradesh,63,105123.08,117997.98,12.25,8,14246.91,27303.2,91.64
13.0,Maharashtra,190,233195.82,266628.51,14.34,34,87288.92,126188.21,44.56
14.0,Manipur,32,15304.69,30368.22,98.42,1,4454.17,19517.7,338.19
15.0,Meghalaya,15,6028.77,5974.15,0.0,0,0.0,0.0,0.0
16.0,Mizoram,19,10895.92,19461.27,78.61,12,7755.08,16403.67,111.52
17.0,Nagaland,32,11633.24,17017.57,46.28,6,4193.97,9578.3,128.38
18.0,Odisha,80,144541.42,155572.45,7.63,21,18779.09,29911.39,59.28
19.0,Punjab,39,37885.48,37917.03,0.08,3,743.09,947.0,27.44
20.0,Rajasthan,69,127036.8,156285.5,23.02,1,43129.0,72937.0,69.11
21.0,Sikkim,22,14500.36,22320.65,53.93,7,3542.72,11486.86,224.24
22.0,Tamil Nadu,73,117973.21,138011.83,16.99,33,79226.24,99353.71,25.41
23.0,Tripura,13,6435.78,6558.15,1.9,3,638.62,760.99,19.16
24.0,Uttar Pradesh,134,203265.95,224018.59,10.21,41,63480.96,86391.94,36.09
25.0,West Bengal,63,68883.72,92077.49,33.67,24,33562.13,56894.47,69.52
26.0,Andaman and Nicobar Islands,9,2847.18,3118.54,9.53,2,655.03,945.73,44.38
27.0,Delhi,27,92995.74,97266.78,4.59,8,51218.8,55577.27,8.51
28.0,Chhattisgarh,53,82054.75,84743.01,3.28,9,12059.52,15365.49,27.41
29.0,Jharkhand,63,102972.42,111530.61,8.31,18,31825.52,41657.02,30.89
30.0,Uttarakhand,33,36816.79,59857.18,62.58,8,25505.19,48545.58,90.34
31.0,Telangana,53,39244.93,41966.88,6.94,6,14658.63,17380.58,18.57
32.0,Ladakh,6,2474.97,2634.64,6.45,1,480.33,640.0,33.24
33.0,Multi State,56,285457.5,349879.13,22.57,23,52919.54,118944.67,124.77
34.0,Total,1747,2609935.22,3109678.35,19.15,438,838287.13,1356505.14,61.82
