project_code,original_cost_cr,revised_cost_cr,expenditure_cr,cost_overrun_cr,cost_overrun_pct,delay_days,schedule_change_days,expenditure_change_cr_paimana,revision_cost_change_cr,original_cost,revised_cost,cumulative_expenditure,physical_progress_pct,expenditure_change_cr_flash,progress_change_pct,revised_cost_change_cr,previous_expenditure_cr,previous_progress_pct,flash_history_count,future_delay_flag,snapshot_year,snapshot_month_num,original_end_year,original_end_month,revised_end_year,revised_end_month,sector_freq,ministry_freq,state_freq,implementing_agency_freq
400005,4546.0,0.0,4148.46,0.4000000000000909,0.0630372492836754,933.0,933.0,1.5600000000000025,0.0,4546.26,4546.26,4148.46,93.0,1.75,0.3499999999999943,0.0,381.695,73.0,1.0,0,2025.0,7.0,2023.0,6.0,2025.0,12.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400005,4546.0,0.0,4172.96,0.4000000000000909,0.0630372492836754,933.0,933.0,24.5,0.0,4546.26,4546.26,4172.96,93.0,24.5,0.0,0.0,4148.46,93.0,2.0,0,2025.0,8.0,2023.0,6.0,2025.0,12.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400005,4546.0,0.0,4210.29,0.4000000000000909,0.0630372492836754,933.0,933.0,37.32999999999993,0.0,4546.26,4546.26,4210.29,93.0,37.32999999999993,0.0,0.0,4172.96,93.0,3.0,0,2025.0,9.0,2023.0,6.0,2025.0,12.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400005,4546.0,0.0,4210.3,0.4000000000000909,0.0630372492836754,933.0,933.0,0.0100000000002182,0.0,4546.26,4546.26,4210.3,93.0,0.0100000000002182,0.0,0.0,4210.29,93.0,4.0,0,2025.0,10.0,2023.0,6.0,2025.0,12.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400005,4546.0,0.0,4318.95,0.4000000000000909,0.0630372492836754,933.0,933.0,108.64999999999964,0.0,4546.26,4546.26,4318.95,94.0,108.64999999999964,1.0,0.0,4210.3,93.0,5.0,1,2025.0,11.0,2023.0,6.0,2025.0,12.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400005,4546.0,0.0,4358.49,0.4000000000000909,0.0630372492836754,1023.0,1023.0,39.53999999999997,0.0,4546.26,4546.26,4358.49,95.0,39.53999999999997,1.0,0.0,4318.95,94.0,6.0,1,2025.0,12.0,2023.0,6.0,2026.0,3.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400005,4546.0,0.0,4482.15,0.4000000000000909,0.0630372492836754,1084.0,1084.0,123.65999999999984,0.0,4546.26,4546.26,4482.15,96.0,123.65999999999984,1.0,0.0,4358.49,95.0,7.0,0,2026.0,1.0,2023.0,6.0,2026.0,5.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400005,4546.0,0.0,4500.79,0.4000000000000909,0.0630372492836754,1084.0,1084.0,18.640000000000327,0.0,4546.26,4546.26,4500.79,98.0,18.640000000000327,2.0,0.0,4482.15,96.0,8.0,0,2026.0,2.0,2023.0,6.0,2026.0,5.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400005,4546.0,0.0,4523.49,0.4000000000000909,0.0630372492836754,1084.0,1084.0,22.69999999999981,0.0,4546.26,4546.26,4523.49,99.65,22.69999999999981,1.6500000000000057,0.0,4500.79,98.0,9.0,0,2026.0,3.0,2023.0,6.0,2026.0,5.0,0.0488089073019161,0.0758674262040393,0.0023303987571206,0.0488089073019161
400006,809.0,0.0,505.01,0.4000000000000909,0.0630372492836754,55.0,55.0,1.5600000000000025,0.0,808.99,808.99,505.01,31.0,1.75,0.3499999999999943,0.0,381.695,73.0,1.0,1,2025.0,12.0,2025.0,10.0,2025.0,12.0,0.2149145520455722,0.2133609528741584,0.0406525116519937,0.0032366649404453
